category_low_id,week_num,region,cl_cnt
2000,18,Niigata,12053
2000,18,Tokyo,6394
2000,19,Niigata,9144
2000,19,Tokyo,6863
2000,20,Niigata,8981
2000,20,Tokyo,6745
2000,21,Niigata,8460
2000,21,Tokyo,6402
2000,22,Niigata,10003
2000,22,Tokyo,5464
2000,23,Niigata,12443
2000,23,Tokyo,5014
2000,24,Niigata,10467
2000,24,Tokyo,6248
2000,25,Niigata,10541
2000,25,Tokyo,7674
2000,26,Niigata,9516
2000,26,Tokyo,9187
2000,27,Niigata,8259
2000,27,Tokyo,10704
2000,28,Niigata,7973
2000,28,Tokyo,12835
2000,29,Niigata,9775
2000,29,Tokyo,13629
2000,30,Niigata,9462
2000,30,Tokyo,14080
2000,31,Niigata,9926
2000,31,Tokyo,15253
2000,32,Niigata,5245
2000,32,Tokyo,13711
2000,33,Niigata,6569
2000,33,Tokyo,13454
2000,34,Niigata,5712
2000,34,Tokyo,12725
2000,35,Niigata,6562
2000,35,Tokyo,13574
2000,36,Niigata,9217
2000,36,Tokyo,16246
2000,37,Niigata,10192
2000,37,Tokyo,15642
2000,38,Niigata,9994
2000,38,Tokyo,14816
2000,39,Niigata,10438
2000,39,Tokyo,14517
2000,40,Niigata,13148
2000,40,Tokyo,12277
2000,41,Niigata,13059
2000,41,Tokyo,13918
2000,42,Niigata,15097
2000,42,Tokyo,21591
2000,43,Niigata,12592
2000,43,Tokyo,24490
2000,44,Niigata,9783
2000,44,Tokyo,23271
2000,45,Niigata,11228
2000,45,Tokyo,24256
2000,46,Niigata,11186
2000,46,Tokyo,24957
2001,1,Niigata,119989
2001,1,Tokyo,561399
2001,2,Niigata,84694
2001,2,Tokyo,424343
2001,3,Niigata,84427
2001,3,Tokyo,356330
2001,4,Niigata,86532
2001,4,Tokyo,331736
2001,5,Niigata,94370
2001,5,Tokyo,315229
2001,6,Niigata,99644
2001,6,Tokyo,339098
2001,7,Niigata,93243
2001,7,Tokyo,336524
2001,8,Niigata,97109
2001,8,Tokyo,335891
2001,9,Niigata,95103
2001,9,Tokyo,340627
2001,10,Niigata,97755
2001,10,Tokyo,368076
2001,11,Niigata,85893
2001,11,Tokyo,308281
2001,12,Niigata,87273
2001,12,Tokyo,285793
2001,13,Niigata,68817
2001,13,Tokyo,336741
2001,14,Niigata,67136
2001,14,Tokyo,297556
2001,15,Niigata,64117
2001,15,Tokyo,306697
2001,16,Niigata,65590
2001,16,Tokyo,350614
2001,17,Niigata,62534
2001,17,Tokyo,309492
2001,18,Niigata,62447
2001,18,Tokyo,337407
2001,19,Niigata,60960
2001,19,Tokyo,330617
2001,20,Niigata,61125
2001,20,Tokyo,443151
2001,21,Niigata,59292
2001,21,Tokyo,274170
2001,22,Niigata,61011
2001,22,Tokyo,283561
2001,23,Niigata,57807
2001,23,Tokyo,288397
2001,24,Niigata,57721
2001,24,Tokyo,259849
2001,25,Niigata,58708
2001,25,Tokyo,244283
2001,26,Niigata,62602
2001,26,Tokyo,348420
2001,27,Niigata,61047
2001,27,Tokyo,292944
2001,28,Niigata,55529
2001,28,Tokyo,302420
2001,29,Niigata,61140
2001,29,Tokyo,288683
2001,30,Niigata,53797
2001,30,Tokyo,195969
2001,31,Niigata,45293
2001,31,Tokyo,230376
2001,32,Niigata,42207
2001,32,Tokyo,175557
2001,33,Niigata,46897
2001,33,Tokyo,179198
2001,34,Niigata,47897
2001,34,Tokyo,192843
2001,35,Niigata,52956
2001,35,Tokyo,244823
2001,36,Niigata,56098
2001,36,Tokyo,240854
2001,37,Niigata,59695
