category_min_id,week_num,region,media_cnt
15,28,Niigata,9
15,28,Tokyo,39
15,29,Niigata,15
15,29,Tokyo,42
15,30,Niigata,16
15,30,Tokyo,40
15,31,Niigata,12
15,31,Tokyo,31
15,32,Niigata,12
15,32,Tokyo,30
15,33,Niigata,16
15,33,Tokyo,34
15,34,Niigata,13
15,34,Tokyo,34
15,35,Niigata,12
15,35,Tokyo,36
15,36,Niigata,10
15,36,Tokyo,39
15,37,Niigata,16
15,37,Tokyo,32
15,38,Niigata,13
15,38,Tokyo,32
15,39,Niigata,16
15,39,Tokyo,37
15,40,Niigata,14
15,40,Tokyo,37
15,41,Niigata,16
15,41,Tokyo,44
15,42,Niigata,12
15,42,Tokyo,41
15,43,Niigata,15
15,43,Tokyo,35
15,44,Niigata,18
15,44,Tokyo,37
15,45,Niigata,12
15,45,Tokyo,35
15,46,Niigata,14
15,46,Tokyo,41
16,1,Niigata,21
16,1,Tokyo,152
16,2,Niigata,23
16,2,Tokyo,173
16,3,Niigata,26
16,3,Tokyo,164
16,4,Niigata,25
16,4,Tokyo,164
16,5,Niigata,24
16,5,Tokyo,161
16,6,Niigata,20
16,6,Tokyo,165
16,7,Niigata,20
16,7,Tokyo,148
16,8,Niigata,20
16,8,Tokyo,137
16,9,Niigata,28
16,9,Tokyo,134
16,10,Niigata,19
16,10,Tokyo,117
16,11,Niigata,21
16,11,Tokyo,115
16,12,Niigata,18
16,12,Tokyo,140
